                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1322,                  2.185,                 1.1448,                0.88947,                0.66915,                0.62314,                0.67492,                0.48785,                 0.5893,                0.48463,                0.52581,                0.28036,                0.99804,                 2.1713,                 1.0637,                0.86914,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.1409,                 2.2097,                 1.1115,                 0.8852,                0.65295,                0.62196,                0.66598,                0.47841,                0.56127,                0.48248,                0.50915,                0.27646,                0.99363,                  2.274,                 1.0641,                0.86676,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.1095,                 2.2243,                 1.1015,                 0.8861,                0.66528,                0.61732,                0.67253,                0.50172,                0.58044,                0.49923,                0.53696,                0.29885,                0.92642,                 2.1917,                 1.0579,                0.86307,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.1185,                    2.2,                  1.087,                0.88695,                 0.6385,                0.61116,                0.65944,                0.48383,                0.56389,                0.48834,                0.53264,                0.29127,                0.95925,                 2.2025,                 1.0696,                0.86484,              0.0012522,              0.0012522,              0.0012522
                     28,                  1.055,                 2.2512,                 1.0908,                0.87607,                0.64544,                0.61621,                0.66671,                0.49047,                0.56385,                0.49804,                0.53613,                0.29447,                0.95246,                 2.2539,                 1.0793,                0.86374,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.0704,                 2.0977,                 1.0757,                0.88779,                0.69143,                0.62189,                0.68956,                0.51987,                0.60423,                 0.5088,                0.55508,                0.30991,                0.90454,                 2.0849,                 1.0263,                0.85637,               0.001238,               0.001238,               0.001238
                     30,                 1.0482,                 2.1612,                 1.0415,                0.87804,                0.68486,                0.62837,                0.69006,                0.50569,                 0.6022,                0.49119,                0.54845,                0.29168,                 0.9768,                 2.1096,                  1.025,                0.86486,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0806,                  2.153,                 1.0427,                0.87839,                 0.6923,                0.62778,                0.68849,                0.52173,                0.61058,                0.50799,                0.55233,                0.30212,                 0.8735,                  2.199,                0.99796,                 0.8564,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.0562,                 2.1608,                 1.0427,                0.88258,                0.70253,                0.63401,                0.69097,                0.51853,                 0.6108,                0.52545,                0.55818,                0.30565,                0.89012,                 2.1107,                0.96151,                0.86043,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.0761,                 2.1109,                 1.0215,                0.87854,                0.68071,                0.60538,                0.66845,                0.48771,                0.59496,                0.47909,                0.52692,                0.28219,                0.96987,                 2.1287,                0.97492,                0.86336,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.1013,                 2.1387,                  1.033,                0.88024,                0.70668,                0.63723,                0.70336,                0.53458,                0.62884,                0.51728,                0.56984,                0.33055,                0.89499,                 2.1864,                0.96475,                0.85515,              0.0012026,              0.0012026,              0.0012026
