                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1316,                 2.1528,                 1.1222,                0.88843,                0.63046,                0.62243,                0.66521,                0.47962,                0.55981,                0.50411,                 0.5427,                 0.3023,                0.96834,                 2.1084,                 1.0738,                0.86713,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0867,                 2.1771,                 1.0932,                0.88387,                0.66536,                0.63594,                0.68649,                0.49027,                0.58677,                0.51562,                0.55315,                0.30401,                 0.9784,                 2.2396,                 1.0823,                0.86729,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.1115,                 2.2131,                 1.0595,                0.88242,                0.64824,                0.63549,                0.67931,                0.49344,                0.58438,                0.51193,                0.55384,                0.31104,                0.94518,                 2.1441,                 1.0839,                0.86819,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.0829,                 2.1689,                 1.0566,                0.88296,                 0.6886,                0.64725,                 0.7017,                0.51229,                0.61791,                0.52852,                0.57688,                  0.324,                0.93751,                 2.1339,                 1.0128,                0.86199,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.0834,                  2.206,                 1.0808,                0.88398,                0.70372,                0.64771,                 0.7101,                0.50359,                0.61815,                0.52931,                0.57931,                0.30416,                 1.0219,                 2.1982,                 1.0251,                0.86615,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.1254,                 2.1324,                 1.0583,                0.88645,                0.68989,                0.63314,                0.69956,                0.51201,                  0.622,                0.52338,                0.57771,                0.31813,                0.94495,                 2.1832,                 1.0542,                0.86167,               0.001238,               0.001238,               0.001238
                     30,                  1.129,                 2.1693,                 1.0476,                0.88187,                0.71745,                0.65294,                0.72337,                0.53393,                0.64196,                0.55394,                0.60587,                0.35821,                0.93726,                 2.1609,                 1.0001,                0.85947,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0877,                 2.1618,                 1.0317,                0.88233,                0.71981,                0.66652,                0.72398,                0.52397,                0.63089,                0.54496,                0.58371,                 0.3191,                0.94871,                 2.0709,                0.97349,                0.86362,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.0842,                 2.1102,                 1.0444,                0.88449,                0.71517,                0.67258,                0.72594,                 0.5166,                 0.6401,                0.53396,                 0.5813,                0.31647,                0.98692,                 2.1667,                0.96153,                  0.866,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.0705,                 2.0515,                0.99805,                0.88439,                0.72564,                0.66725,                 0.7314,                 0.5439,                0.65912,                0.56078,                0.60592,                0.36032,                0.87648,                 2.1252,                0.93194,                 0.8575,              0.0012097,              0.0012097,              0.0012097
